cutoff_date,rank,ticker,company,cik,total_score,selected_top_10,indicator_Return on equity,indicator_Net profit margin,indicator_Margin consistency,indicator_Liabilities to assets,indicator_Positive free cash flow,indicator_Revenue growth,indicator_Earnings growth,points_Return on equity,points_Net profit margin,points_Margin consistency,points_Liabilities to assets,points_Positive free cash flow,points_Revenue growth,points_Earnings growth
2022-09-10,35,COST,COSTCO WHOLESALE CORP /NEW,909832,78,False,0.2793461280964071,0.025555175599324246,0.001661188595177198,0.6949787406357563,5,0.11008494693663473,0.1692334178988253,20,0,10,8,20,10,10
2022-09-10,36,DE,DEERE & CO,315189,78,False,0.38019637847487886,0.13544884608395422,0.025374073439360798,0.7808450436312623,5,0.10304806134827826,0.2891487794164611,20,8,10,0,20,10,10
2022-09-10,37,MRK,"Merck & Co., Inc.",310158,78,False,0.41098565376923196,0.26792460578186594,0.07551897447016405,0.6387306753458096,5,0.04965242702099859,0.5279645249760108,20,15,0,8,20,5,10
2022-09-10,38,ADI,"Analog Devices, Inc.",6281,75,False,0.05562746368123999,0.18999284805212588,0.030190999647512994,0.2738715942646842,5,0.09408279061692837,0.14626909231096774,0,15,5,15,20,10,10
2022-09-10,39,FTNT,"FORTINET, INC.",1262039,75,False,0.7410392623801673,0.18155705822512117,0.06371388195951917,0.8651146289131794,5,0.22279899537105718,1.0966646886634663,20,15,0,0,20,10,10
2022-09-10,40,MU,"Micron Technology, Inc.",723125,75,False,0.1413498293721135,0.2115502616856163,0.11192191806988072,0.25346225084538393,5,0.08055761147180118,0.03594051317337743,10,15,0,15,20,10,5
2022-09-10,41,PAYX,"Paychex, Inc.",723531,75,False,0.37889122807017545,0.24634983209227623,0.0015148646907949927,0.7239273289524546,5,0.07073434222209984,0.06978085501850995,20,15,10,0,20,5,5
2022-09-10,42,AMZN,AMAZON COM INC,1018724,74,False,0.2880564992726064,0.07101412875514557,0.01776485097582265,0.6712749287241201,4,0.27485297781189333,0.8211739332412031,20,0,10,8,16,10,10
2022-09-10,43,CSCO,"CISCO SYSTEMS, INC.",858877,73,False,0.29148159115585826,0.22910565005721822,0.08860092963550698,0.5768919810216804,5,0.011100047529897905,2.219086807786308,20,15,0,8,20,0,10
2022-09-10,44,PFE,PFIZER INC,78003,73,False,0.31300422247381426,0.27038431256766066,0.07325399195201479,0.5731501686173378,5,0.11524861921977392,0.007781334185745115,20,15,0,8,20,10,0
2022-09-10,45,WMT,WALMART INC.,104169,73,False,0.166563120515538,0.0238723780191845,0.005212257313444775,0.6599975496201911,5,0.03436799823437431,0.08511234388267597,20,0,10,8,20,5,10
2022-09-10,46,NFLX,NETFLIX INC,1065280,72,False,0.3801839366217927,0.17227607499049427,0.04160788226204161,0.6445134507352899,1,0.2624157608106721,0.7393953777736588,20,15,5,8,4,10,10
2022-09-10,47,AMGN,Amgen Inc.,318154,70,False,0.7316406977466012,0.2268370607028754,0.09618867476723188,0.8904602305239925,5,0.03261590030233341,0.3136288011176478,20,15,0,0,20,5,10
2022-09-10,48,ROK,"Rockwell Automation, Inc.",1024478,70,False,0.7948147714636858,0.19408637493926315,0.0404245194917929,0.7767062869103686,5,0.026134924529300996,0.13247172131460072,20,15,5,0,20,0,10
2022-09-10,49,GILD,"GILEAD SCIENCES, INC.",882095,68,False,0.31702783224262177,0.22798022340230728,0.09050490333115728,0.6899429008712032,5,0.01127973129790294,0.07692758504140396,20,15,0,8,20,0,5
2022-09-10,50,CMCSA,COMCAST CORPORATION,1166691,66,False,0.15190837647185043,0.12165657086394295,0.06073597310225665,0.6517207009659122,5,0.08163936582263354,-0.11164938814278635,20,8,0,8,20,10,0
2022-09-10,51,KO,COCA COLA CO,21344,65,False,0.46200765993664,0.2527745440434614,0.08070754670674281,0.7562477478432287,5,0.016455315849065455,0.6727502635801783,20,15,0,0,20,0,10
2022-09-10,52,CVX,Chevron Corp,93410,65,False,0.1154179978209082,0.09617456067460683,0.05704687990481906,0.4157847496190536,5,0.03473856481771964,0.1417396230337209,10,0,5,15,20,5,10
